% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
2.0E-4,0.0025,1.0391791747323194E-4-7.348980175049912E-5i
2.1E-4,0.0025,-1.1821711262330007E7-1.582800231425287E7i
2.2E-4,0.0025,-1.2577180245358493E7-1.6125517967314461E7i
2.3E-4,0.0025,-1.327295872516856E7-1.6461287436624445E7i
2.4E-4,0.0025,-1.392285125327156E7-1.6838033488169413E7i
2.5E-4,0.0025,-1.4544276199958108E7-1.724404435019131E7i
2.6000000000000003E-4,0.0025,-1.5137867800288916E7-1.7680150725545138E7i
2.7E-4,0.0025,-1.5714883356042037E7-1.814131366625463E7i
2.8000000000000003E-4,0.0025,-1.627925944691181E7-1.8623385622099884E7i
2.9E-4,0.0025,-1.6831919790249456E7-1.9126401227709144E7i
3.0000000000000003E-4,0.0025,-1.7379310333688907E7-1.9645481366820004E7i
3.1E-4,0.0025,-1.7922634699857097E7-2.017854497675356E7i
3.2E-4,0.0025,-1.8462464836031344E7-2.0725410265172966E7i
3.3E-4,0.0025,-1.9002393948333416E7-2.128250178364571E7i
3.4E-4,0.0025,-1.9542940119899157E7-2.184856075866022E7i
3.5000000000000005E-4,0.0025,-2.0084318233952105E7-2.2423443122195005E7i
3.6E-4,0.0025,-2.0628734213876743E7-2.300489130980164E7i
3.7E-4,0.0025,-2.117662442548592E7-2.3592150488568213E7i
3.8E-4,0.0025,-2.1728002358390484E7-2.4185194966772895E7i
3.9000000000000005E-4,0.0025,-2.228439391647173E7-2.478270874384675E7i
4.0E-4,0.0025,-2.2846562027035423E7-2.538471358825782E7i
4.1E-4,0.0025,-2.3414506690081596E7-2.5991209500005417E7i
4.2E-4,0.0025,-2.398908925679445E7-2.6601540177460223E7i
4.3000000000000004E-4,0.0025,-2.457197413711343E7-2.7216737038191967E7i
4.4000000000000007E-4,0.0025,-2.516318506552643E7-2.7837149032963857E7i
4.5E-4,0.0025,-2.5763023944174808E7-2.84623785449961E7i
4.6E-4,0.0025,-2.637397990746825E7-2.9094171324245542E7i
4.7000000000000004E-4,0.0025,-2.699650296350396E7-2.9734565998573195E7i
4.8000000000000007E-4,0.0025,-2.7630593112281963E7-3.038356256797979E7i
4.9E-4,0.0025,-2.8278376899700657E7-3.1041400689050145E7i
5.0E-4,0.0025,-2.8941787315875247E7-3.171448089272828E7i
5.1E-4,0.0025,-2.9620684113343637E7-3.2403475848763E7i
5.200000000000001E-4,0.0025,-3.0315580320443437E7-3.31079504128906E7i
5.300000000000001E-4,0.0025,-3.103049445634726E7-3.3834310837364145E7i
5.4E-4,0.0025,-3.1764649539742984E7-3.459001538298336E7i
5.5E-4,0.0025,-3.251804557063083E7-3.537506404974619E7i
5.600000000000001E-4,0.0025,-3.3293121393549018E7-3.618977094324875E7i
5.700000000000001E-4,0.0025,-3.4091094505775355E7-3.7050921777402565E7i
5.8E-4,0.0025,-3.49093292045012E7-3.796439542772316E7i
5.9E-4,0.0025,-3.5747825489726394E7-3.893019189421273E7i
6.000000000000001E-4,0.0025,-3.661102121529811E7-3.995257348033675E7i
6.100000000000001E-4,0.0025,-3.7490827937975116E7-4.1060179275847934E7i
6.2E-4,0.0025,-3.838302759539697E7-4.2257503577490576E7i
6.3E-4,0.0025,-3.9287620187563635E7-4.354454638526394E7i
6.4E-4,0.0025,-4.0208489824939184E7-4.4933243643866114E7i
